Original_Diagnosis,Modern_Clinical_Name,Status,NAMASTE_Code,ICD_11_Code,Confidence,System
jvara,Pyrexia / Fever,Mapped,AYU-101,SP51,98.0%,AYURVEDA
suram,Pyrexia / Fever,Mapped,SID-050,SP51,98.0%,SIDDHA
humma,Pyrexia / Fever,Mapped,UNA-040,SP51,98.0%,UNANI
kasa,Cough / Bronchitis,Mapped,AYU-120,CA20,98.0%,AYURVEDA
shwasa,Bronchial Asthma / Dyspnea,Mapped,AYU-125,CA40,98.0%,AYURVEDA
irumal,Cough,Mapped,SID-012,CA20,98.0%,SIDDHA
su-al,Amyotrophic lateral sclerosis,Mapped,8B60.0,8B60.0,42.2%,WHO_ICD11
pandu,Anemia / Iron Deficiency Anemia,Mapped,AYU-180,3A00,98.0%,AYURVEDA
manjal noi,Standardized Clinical Presentation,Mapped,SID-160,5A10,42.4%,SIDDHA
yarqan,Jaundice / Viral Hepatitis,Mapped,UNA-035,DB90,98.0%,UNANI
atisara,Acute Diarrhea / Gastroenteritis,Mapped,AYU-201,DA90,98.0%,AYURVEDA
grahani,Malabsorption Syndrome / IBS,Mapped,AYU-170,DD90,98.0%,AYURVEDA
mutraghata,Urinary Retention,Mapped,AYU-135,GB42,98.0%,AYURVEDA
neerizhivu,Diabetes Mellitus,Mapped,SID-045,5A10,98.0%,SIDDHA
zayabetus,Diabetes Mellitus,Mapped,SID-045,5A10,95.0%,SIDDHA
prameha,Diabetes Mellitus / Metabolic Disorder,Mapped,AYU-130,5A10,98.0%,AYURVEDA
sandhigata vata,Osteoarthritis,Mapped,AYU-110,FA00,98.0%,AYURVEDA
azhal keel vayu,Standardized Clinical Presentation,Mapped,SID-070,DD50,36.1%,SIDDHA
waja-ul-mafasil,Standardized Clinical Presentation,Mapped,UNA-100,CA20,41.3%,UNANI
sori,Scabies / Itching,Mapped,SID-145,EA81,98.0%,SIDDHA
dadru,Ringworm / Tinea,Mapped,AYU-285,EA82,98.0%,AYURVEDA
vellai noi,Standardized Clinical Presentation,Mapped,SID-160,5A10,42.4%,SIDDHA
shotha,Edema / Inflammatory Swelling,Mapped,AYU-165,ME84,98.0%,AYURVEDA
Raktapitta,Bleeding Disorder / Thrombocytopenia,Mapped,AYU-115,BD40,98.0%,AYURVEDA
Gunmam,Gastritis / Acidity,Mapped,SID-115,DD80,98.0%,SIDDHA
Vatarakta,Gouty Arthritis,Mapped,AYU-195,FB20,98.0%,AYURVEDA
Karappan,Eczema / Dermatitis,Mapped,SID-085,EA80,98.0%,SIDDHA
Warm,Standardized Clinical Presentation,Mapped,UNA-075,DD80,43.6%,UNANI
Pakshaghata,Stroke / Paralysis,Mapped,AYU-140,8B20,98.0%,AYURVEDA
Soolai,Standardized Clinical Presentation,Mapped,SID-125,ME82,43.1%,SIDDHA
Unmada,Psychosis / Mental Disorder,Mapped,AYU-155,6A00,98.0%,AYURVEDA
Vali noi,Standardized Clinical Presentation,Mapped,SID-105,FA20,48.3%,SIDDHA
Ootha noi,Standardized Clinical Presentation,Mapped,SID-160,5A10,42.4%,SIDDHA
Ashmari,Kidney Stones / Renal Calculi,Mapped,AYU-250,GB20,98.0%,AYURVEDA
