TRADITIONAL_TERM,SYSTEM,ID,NAMASTE_CODE,TM2_CODE
jvara,Ayurveda,1,AYU-101,SP51
suram,Siddha,2,SID-045,SL41
humma,Unani,3,UNA-090,SP51
kasa,Ayurveda,4,AYU-112,SL41
shwasa,Ayurveda,5,AYU-113,SL42
irumal,Siddha,6,SID-046,SL41
su-al,Unani,7,UNA-091,SL41
hikka,Ayurveda,8,AYU-114,SM74
pandu,Ayurveda,9,AYU-115,SL80
manjal noi,Siddha,10,SID-047,SM20
yarqan,Unani,11,UNA-092,SM20
aruchi,Ayurveda,12,AYU-116,SM10
ajirana,Ayurveda,13,AYU-117,SM10
mandham,Siddha,14,SID-048,SM10
su-e-hazm,Unani,15,UNA-093,SM10
atisara,Ayurveda,16,AYU-118,SM30
kazhichal,Siddha,17,SID-049,SM30
ishal,Unani,18,UNA-094,SM30
grahani,Ayurveda,19,AYU-119,SM40
chardi,Ayurveda,20,AYU-120,SM70
vanti,Siddha,21,SID-050,SM70
qai,Unani,22,UNA-095,SM70
mutraghata,Ayurveda,23,AYU-121,SM80
neerizhivu,Siddha,24,SID-051,SN10
zayabetus,Unani,25,UNA-096,SN10
prameha,Ayurveda,26,AYU-122,SN10
sandhigata vata,Ayurveda,27,AYU-123,SP12
azhal keel vayu,Siddha,28,SID-052,SP12
waja-ul-mafasil,Unani,29,UNA-097,SP12
gridhrasi,Ayurveda,30,AYU-124,SP20
ardita,Ayurveda,31,AYU-125,SP20
ajal kirkrippu,Siddha,32,SID-053,SK00
sadra-o-dwar,Unani,33,UNA-098,SK00
kandu,Ayurveda,34,AYU-126,SK52
kampavata,Ayurveda,35,AYU-127,SN40
sori,Siddha,36,SID-054,SN40
hikka-e-jild,Unani,37,UNA-099,SN40
dadru,Ayurveda,38,AYU-128,SN50
vellai noi,Siddha,39,SID-055,SN60
bars,Unani,40,UNA-100,SN60
shotha,Ayurveda,41,AYU-129,ME84
neeradai,Siddha,42,SID-056,CA00
Raktapitta,Ayurveda,43,AYU-130,KD00
Gunmam,Siddha,44,SID-057,SM10
Nazla,Unani,45,UNA-101,CA00
Vatarakta,Ayurveda,46,AYU-131,SP12
Karappan,Siddha,47,SID-058,SK50
Warm,Unani,48,UNA-102,ME84
Pakshaghata,Ayurveda,49,AYU-132,SK00
Soolai,Siddha,50,SID-059,SP12
Uqr,Unani,51,UNA-103,SN60
Unmada,Ayurveda,52,AYU-133,SK00
Vali noi,Siddha,53,SID-060,SK00
Khafaqan,Unani,54,UNA-104,SK00
Shirashoola,Ayurveda,55,AYU-134,SK00
Siraneer,Siddha,56,SID-061,SM80
Suda,Unani,57,UNA-105,SK00
Bhagna,Ayurveda,58,AYU-135,SP12
Ootha noi,Siddha,59,SID-062,ME84
Amraz-e-Jild,Unani,60,UNA-106,SK50
Ashmari,Ayurveda,61,AYU-136,SM80
Kayam,Siddha,62,SID-063,SK00
