id,system,traditional_term,namaste_code,tm2_code,aliases
1,AYURVEDA,jvara,AYU-101,SP51,"fever | pyrexia | suram"
2,AYURVEDA,Accumulation of Vata pattern,AAA-1,SR11,"Vatasanchayah | Vata"
3,AYURVEDA,amlapitta,AYU-104,MD81,"hyperacidity | gastritis | acid reflux"
4,AYURVEDA,sandhigata vata,AYU-110,FA00,"osteoarthritis | joint pain | knee pain"
5,AYURVEDA,raktapitta,AYU-115,BD40,"bleeding disorder | hemorrhage"
6,AYURVEDA,kasa,AYU-120,CA20,"cough | bronchitis"
7,AYURVEDA,shwasa,AYU-125,CA40,"asthma | breathing difficulty | dyspnea"
8,AYURVEDA,prameha,AYU-130,5A10,"diabetes | urinary disorders | madhumeha"
9,AYURVEDA,pakshaghata,AYU-140,8B20,"paralysis | hemiplegia | stroke"
10,AYURVEDA,madathyaya,AYU-150,6C40,"alcoholism | withdrawal symptoms"
11,SIDDHA,neerizhivu,SID-045,5A10,"diabetes | zayabetus | madhumeha"
12,SIDDHA,vatarakta,SID-048,FB20,"gout | joint inflammation | hyperuricemia"
13,SIDDHA,suram,SID-050,SP51,"fever | viral infection"
14,SIDDHA,vali noi,SID-055,ME80,"neuralgia | rheumatism | body ache"
15,SIDDHA,kamala,SID-060,DB90,"jaundice | liver disorder"
16,UNANI,nisyan,UNA-012,8A00,"amnesia | memory loss | cognitive decline"
17,UNANI,ziabetus,UNA-018,5A10,"diabetes mellitus | excessive thirst"
18,UNANI,zat ul janb,UNA-025,CA22,"pleurisy | chest infection"
19,UNANI,sozish e qulb,UNA-030,BC41,"cardiac inflammation | heart pain"
20,UNANI,yarqan,UNA-035,DB90,"jaundice | yellowish discoloration"
21,AYURVEDA,amavata,AYU-112,FA20,"rheumatoid arthritis | joint swelling | stiffness"
22,AYURVEDA,mutraghata,AYU-135,GB42,"urinary retention | bladder obstruction"
23,AYURVEDA,unmada,AYU-155,6A00,"psychiatric disorder | mental illness | psychosis"
24,AYURVEDA,apasmara,AYU-160,8A60,"epilepsy | seizure disorder | fits"
25,AYURVEDA,shotha,AYU-165,ME84,"edema | inflammation | swelling"
26,AYURVEDA,grahani,AYU-170,DD90,"irritable bowel syndrome | IBS | malabsorption"
27,AYURVEDA,pandu,AYU-180,3A00,"anemia | pallor | iron deficiency"
28,AYURVEDA,vrana,AYU-185,EA90,"ulcer | wound | tissue damage"
29,AYURVEDA,mutrakricchra,AYU-190,GB40,"dysuria | painful urination"
30,AYURVEDA,vatarakta,AYU-195,FB20,"gout | hyperuricemia"
31,SIDDHA,peruntiratchi,SID-065,5B81,"obesity | weight gain | adiposity"
32,SIDDHA,vayu,SID-070,DD50,"flatulence | gas | bloating"
33,SIDDHA,pitham,SID-075,DB98,"biliary imbalance | hyperacidity"
34,SIDDHA,kapam,SID-080,CA00,"congestion | phlegm accumulation"
35,SIDDHA,karappan,SID-085,EA80,"eczema | chronic dermatitis | skin eruption"
36,SIDDHA,kirumi,SID-090,1F20,"parasitic infection | worms"
37,SIDDHA,peruvayi,SID-095,DB30,"hemorrhoids | piles"
38,UNANI,humma,UNA-040,SP51,"fever | pyrexia | elevated temperature"
39,UNANI,zat ur riyah,UNA-045,DD50,"flatulent colic | abdominal wind"
40,UNANI,warm e kabid,UNA-050,DB91,"hepatitis | liver inflammation"
41,UNANI,niqris,UNA-055,FB20,"gout | painful joint condition"
42,UNANI,qabz,UNA-060,DD70,"constipation | sluggish bowel"
43,UNANI,sozish e bawaseer,UNA-065,DB30,"piles | inflamed hemorrhoids"
44,UNANI,dard e shaqaiq,UNA-070,8A80,"migraine | recurring headache"
45,AYURVEDA,atisara,AYU-201,DA90,"diarrhea | loose stools | dysentery"
46,AYURVEDA,chhardi,AYU-205,MD90,"vomiting | nausea | emesis"
47,AYURVEDA,shoola,AYU-210,ME82,"colic | abdominal pain | spasm"
48,AYURVEDA,kamala,AYU-215,DB90,"jaundice | yellowish skin"
49,AYURVEDA,vidradhi,AYU-220,EA91,"abscess | boil | internal swelling"
50,AYURVEDA,visarpa,AYU-225,EA81,"erysipelas | herpes | spreading skin lesion"
51,AYURVEDA,kshaya,AYU-230,1B10,"tuberculosis | wasting disease | pulmonary consumption"
52,AYURVEDA,netraroga,AYU-235,9A00,"eye disorder | vision problem"
53,SIDDHA,pitha noi,SID-100,MD81,"bilious disorder | hyperacidity"
54,SIDDHA,vali azhal noi,SID-105,FA20,"rheumatic complaint | joint pain"
55,SIDDHA,solai,SID-110,EA82,"ulcerative skin condition | boils"
56,SIDDHA,gunmam,SID-115,DD80,"gastric ulcer | severe gastritis"
57,SIDDHA,muttam,SID-120,EA80,"psoriasis | scaling skin disease"
58,UNANI,warm e meda,UNA-075,DD80,"gastritis | inflammation of stomach"
59,UNANI,zoof e ishtaha,UNA-080,MD91,"loss of appetite | anorexia"
60,UNANI,haiza,UNA-085,DA90,"cholera | acute watery diarrhea"
61,UNANI,irq un nisa,UNA-090,ME80,"sciatica | lower back nerve pain"
62,UNANI,shaqaiq,UNA-095,8A80,"migraine | hemicrania"
63,AYURVEDA,arshas,AYU-240,DB30,"piles | hemorrhoids"
64,AYURVEDA,bhagandara,AYU-245,DB34,"fistula in ano"
65,AYURVEDA,ashmari,AYU-250,GB20,"kidney stone | urinary calculus"
66,AYURVEDA,granthi,AYU-255,2E60,"cyst | benign tumor | nodule"
67,AYURVEDA,arbuda,AYU-260,2B30,"tumor | malignancy | growth"
68,AYURVEDA,apachi,AYU-265,4A40,"lymphadenitis | scrofula"
69,AYURVEDA,galaganda,AYU-270,5A00,"goiter | thyroid swelling"
70,AYURVEDA,shleepada,AYU-275,1F40,"filariasis | elephantiasis"
71,AYURVEDA,yuvana pidika,AYU-280,ED80,"acne | pimples | facial eruption"
72,AYURVEDA,dadru,AYU-285,EA82,"ringworm | fungal skin infection"
73,AYURVEDA,kushta,AYU-290,EA80,"chronic skin disease | leprosy"
74,AYURVEDA,udara,AYU-295,DD52,"ascites | abdominal distension"
75,AYURVEDA,mukharoga,AYU-300,DA00,"oral disorder | stomatitis | mouth ulcer"
76,AYURVEDA,karnaroga,AYU-305,AB10,"ear disorder | tinnitus | earache"
77,AYURVEDA,shiroroga,AYU-310,8A80,"headache | cranial disorder"
78,AYURVEDA,klama,AYU-315,MG20,"exhaustion | fatigue without exertion"
79,AYURVEDA,tandra,AYU-320,MB40,"drowsiness | stupor"
